"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","discriminator_decay","discriminator_dim","discriminator_lr","discriminator_steps","embedding_dim","epochs","generator_decay","generator_dim","generator_lr","method","metric.goal","metric.name","name","pac","parameters.batch_sizes","parameters.discriminator_decay.distribution","parameters.discriminator_decay.max","parameters.discriminator_decay.min","parameters.discriminator_dims","parameters.discriminator_lr.distribution","parameters.discriminator_lr.max","parameters.discriminator_lr.min","parameters.discriminator_steps.distribution","parameters.discriminator_steps.max","parameters.discriminator_steps.min","parameters.embedding_dims","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.generator_decay.distribution","parameters.generator_decay.max","parameters.generator_decay.min","parameters.generator_dims","parameters.generator_lr.distribution","parameters.generator_lr.max","parameters.generator_lr.min","parameters.pac.distribution","parameters.pac.max","parameters.pac.min","parameters.pacs","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Discriminator Loss","Generator Loss","Jensen Shannon Distance","Kolmogorov Smirnov Test"
"vital-sweep-8","","finished","-","","","2024-07-17T13:40:15.000Z","9697","8dscbli5","5000","0.005369817836510699","[512,512]","0.00010124216215256335","6","256","457","0.012332174626082326","[256,256]","0.00007396221247223724","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5626578011972689","0.9128615789473684","1","1","-0.5238960981369019","0.12689238786697388","0.21943782550209737","0.924927894736842"
"fresh-sweep-30","","finished","-","","","2024-07-18T09:37:35.000Z","6591","8dscbli5","5000","0.0012093613286890293","[128,128]","0.0003972476560045419","14","256","144","0.000701949376966099","[512,512]","0.0000969028829385486","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5663079960130982","0.9095947368421052","1","1","-0.19058676064014435","-0.08924174308776855","0.2194583294159147","0.92231"
"kind-sweep-24","","finished","-","","","2024-07-18T06:59:18.000Z","6150","8dscbli5","5000","0.0038560469200162543","[256,256]","0.00005174858986698675","14","32","134","0.013364197940061452","[512,512]","0.0003923548449390901","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5599703047508794","0.9079021052631578","1","1","-0.517058253288269","0.02015575580298901","0.2194605558041814","0.9206668421052632"
"deep-sweep-20","","finished","-","","","2024-07-18T03:10:57.000Z","3741","8dscbli5","5000","0.009298792425081493","[512,512]","0.00006926448506438766","15","32","172","0.0131208963776194","[256,256]","0.00009213519245163796","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5641765098751674","0.9070647368421052","1","1","-0.4835585951805115","-0.15165595710277557","0.21946575164315457","0.9215899999999998"
"genial-sweep-29","","finished","-","","","2024-07-18T08:41:52.000Z","3340","8dscbli5","5000","0.02442883431932006","[512,512]","0.00032484209035847254","6","256","154","0.0009975576133739118","[512,512]","0.00004891611713543012","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5655417758305259","0.9084889473684212","1","1","-0.3844339847564697","-0.5409101843833923","0.21949241121792748","0.921461052631579"
"jumping-sweep-28","","finished","-","","","2024-07-18T08:30:45.000Z","6225","8dscbli5","5000","0.013178556149287623","[512,512]","0.000163696367809261","5","256","329","0.006451341456174842","[512,512]","0.0001718344649817364","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5637524914458378","0.9099410526315788","1","1","-0.4447309970855713","0.09813867509365082","0.21949245067963585","0.9221873684210526"
"vague-sweep-9","","finished","-","","","2024-07-17T16:21:55.000Z","5753","8dscbli5","5000","0.015992474866452593","[512,512]","0.00018581016417179176","4","64","394","0.00035130255676752434","[256,256]","0.00010798685999232978","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5683097610606289","0.9022952631578948","1","1","-0.2124786674976349","-0.13236460089683533","0.2194977884176336","0.9158305263157897"
"glamorous-sweep-27","","finished","-","","","2024-07-18T08:27:25.000Z","8731","8dscbli5","5000","0.02188219842102544","[128,128]","0.00011590515140139208","14","32","442","0.005017212357334189","[512,512]","0.0002617123063646566","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5634211674326793","0.9038657894736843","1","1","-0.281281977891922","0.00482534896582365","0.21950827245221455","0.9171794736842104"
"fluent-sweep-7","","finished","-","","","2024-07-17T08:16:08.000Z","4643","8dscbli5","5000","0.0029428400811924217","[512,512]","0.00046244062279173897","2","256","665","0.020590030583273272","[256,256]","0.00009634959423739792","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5604928921539848","0.909242105263158","1","1","-0.6429014205932617","-0.02451053261756897","0.21950873190074896","0.9210647368421052"
"vocal-sweep-14","","finished","-","","","2024-07-17T22:52:55.000Z","3235","8dscbli5","5000","0.001896339338319386","[256,256]","0.0001716438254161395","4","256","228","0.010765649340309574","[512,512]","0.00006399312544454598","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5649910141448953","0.9113905263157892","1","1","-0.3514934182167053","-0.12323039770126344","0.21950979229016937","0.9249563157894736"
