"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","compress_dims","decompress_dims","embedding_dim","epochs","l2scale","learning_rate","loss_factor","method","metric.goal","metric.name","name","parameters.batch_sizes","parameters.compress_dimss","parameters.decompress_dimss","parameters.embedding_dims","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.l2scale.distribution","parameters.l2scale.max","parameters.l2scale.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.loss_factor.distribution","parameters.loss_factor.max","parameters.loss_factor.min","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Jensen Shannon Distance","Kolmogorov Smirnov Test","Loss"
"graceful-sweep-20","","finished","-","","","2024-07-17T04:53:16.000Z","514","tl4skgvg","5000","[256,256]","[512,512]","256","149","0.0003627468818602989","0.0008651521616808971","3","","","","","","","","","","","","","","","","","","","","","0.5475813946215583","0.866027894736842","1","1","0.2207895992665633","0.8790331578947369","-22.33211898803711"
"jumping-sweep-27","","finished","-","","","2024-07-17T06:46:00.000Z","904","tl4skgvg","5000","[256,256]","[512,512]","64","350","0.00043914162610034246","0.0007074102718129023","2","","","","","","","","","","","","","","","","","","","","","0.5567209254027896","0.8491484210526314","1","1","0.2208412809722663","0.8668889473684209","4.1562347412109375"
"twilight-sweep-26","","finished","-","","","2024-07-17T06:37:14.000Z","520","tl4skgvg","5000","[256,256]","[512,512]","256","149","0.00031995368360788085","0.0005887083962480037","2","","","","","","","","","","","","","","","","","","","","","0.547084696730981","0.8348047368421053","1","1","0.2208575599070948","0.8627389473684212","7.994935989379883"
"rare-sweep-29","","finished","-","","","2024-07-17T07:16:07.000Z","926","tl4skgvg","5000","[256,256]","[512,512]","64","361","0.0006051135582688377","0.0008239270157072699","3","","","","","","","","","","","","","","","","","","","","","0.5552639344114723","0.8476021052631579","1","1","0.22091001261796664","0.8638568421052631","-31.89907455444336"
"divine-sweep-14","","finished","-","","","2024-07-17T03:35:27.000Z","1036","tl4skgvg","5000","[256,256]","[512,512]","32","433","0.0007001347594554308","0.0007429237216110222","3","","","","","","","","","","","","","","","","","","","","","0.5553279193516909","0.8382231578947368","1","1","0.22093077335736064","0.8616605263157896","-40.630836486816406"
"cerulean-sweep-30","","finished","-","","","2024-07-17T07:31:38.000Z","679","tl4skgvg","5000","[512,512]","[512,512]","256","245","0.00032452197971262605","0.0008275221750688862","3","","","","","","","","","","","","","","","","","","","","","0.5497098857807744","0.8314757894736843","1","1","0.220933896299735","0.8439500000000001","-24.94473648071289"
"clear-sweep-28","","finished","-","","","2024-07-17T07:01:08.000Z","897","tl4skgvg","5000","[256,256]","[512,512]","256","343","0.0003924123340536016","0.0009224686455457642","3","","","","","","","","","","","","","","","","","","","","","0.5556985371274455","0.8248594736842104","1","1","0.2210444488611836","0.8406242105263158","-25.269336700439453"
"deep-sweep-21","","finished","-","","","2024-07-17T05:01:55.000Z","736","tl4skgvg","5000","[128,128]","[256,256]","64","275","0.000804815778222519","0.0003481298005011342","1","","","","","","","","","","","","","","","","","","","","","0.5316176688928651","0.7766757894736843","1","1","0.22104737228500648","0.8210231578947368","15.089479446411133"
"leafy-sweep-16","","finished","-","","","2024-07-17T04:11:09.000Z","584","tl4skgvg","5000","[128,128]","[512,512]","64","195","0.0003451289786343167","0.00034569503181000095","2","","","","","","","","","","","","","","","","","","","","","0.5368553147590245","0.8019394736842106","1","1","0.22106484472538557","0.82707","5.94359016418457"
"vibrant-sweep-3","","finished","-","","","2024-07-17T00:07:19.000Z","958","tl4skgvg","5000","[256,256]","[128,128]","256","392","0.00044241835949025346","0.0008044682897183367","4","","","","","","","","","","","","","","","","","","","","","0.5467796031550494","0.828418947368421","1","1","0.2211241721255744","0.848911052631579","-67.6127700805664"
"breezy-sweep-17","","finished","-","","","2024-07-17T04:20:58.000Z","866","tl4skgvg","5000","[128,128]","[512,512]","256","333","0.0007570402056807574","0.0005902411444310915","5","","","","","","","","","","","","","","","","","","","","","0.535406070888156","0.793778947368421","1","1","0.22113625073361004","0.8210578947368421","-115.0526123046875"
"vibrant-sweep-24","","finished","-","","","2024-07-17T05:58:52.000Z","525","tl4skgvg","5000","[256,256]","[128,128]","256","170","0.000021830232714233937","0.0005405066702902211","1","","","","","","","","","","","","","","","","","","","","","0.5471923937258659","0.8117426315789473","1","1","0.22113815000022735","0.8371252631578947","15.594694137573242"
"fragrant-sweep-22","","finished","-","","","2024-07-17T05:14:14.000Z","628","tl4skgvg","5000","[128,128]","[128,128]","64","211","0.0003057716278294228","0.0009314100623435364","3","","","","","","","","","","","","","","","","","","","","","0.5423845280437587","0.8492347368421054","1","1","0.2211900560232189","0.8601500000000001","-23.464920043945312"
"gentle-sweep-9","","finished","-","","","2024-07-17T02:01:26.000Z","490","tl4skgvg","5000","[512,512]","[128,128]","32","158","0.0005590466072829269","0.0008325747021619963","2","","","","","","","","","","","","","","","","","","","","","0.5442504641682728","0.8113363157894737","1","1","0.2212025814899906","0.8308084210526315","7.6279296875"
"splendid-sweep-8","","finished","-","","","2024-07-17T01:49:44.000Z","684","tl4skgvg","5000","[256,256]","[128,128]","32","274","0.0006183684703676886","0.00019942993268254824","1","","","","","","","","","","","","","","","","","","","","","0.546957270448955","0.8233163157894737","1","1","0.2212146743667821","0.8443415789473685","16.061115264892578"
"lucky-sweep-23","","finished","-","","","2024-07-17T05:24:45.000Z","2042","tl4skgvg","5000","[512,512]","[128,128]","256","984","0.00024134505367246604","0.0006769274193295355","3","","","","","","","","","","","","","","","","","","","","","0.5507043039788442","0.8136268421052633","1","1","0.22124809386151648","0.8291836842105265","-53.438846588134766"
"youthful-sweep-12","","finished","-","","","2024-07-17T02:42:07.000Z","1722","tl4skgvg","5000","[512,512]","[512,512]","256","790","0.0006157807317901876","0.00025844501001175965","3","","","","","","","","","","","","","","","","","","","","","0.5391436384307252","0.783898947368421","1","1","0.2212565764005464","0.8139757894736842","-49.76438903808594"
"brisk-sweep-15","","finished","-","","","2024-07-17T03:52:47.000Z","1099","tl4skgvg","5000","[256,256]","[256,256]","32","499","0.00031491342605158686","0.0001572648292250287","3","","","","","","","","","","","","","","","","","","","","","0.5227072341915763","0.7634105263157894","1","1","0.2212963196770347","0.7976252631578947","-41.90876388549805"
