"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","discriminator_decay","discriminator_dim","discriminator_lr","discriminator_steps","embedding_dim","epochs","generator_decay","generator_dim","generator_lr","method","metric.goal","metric.name","name","pac","parameters.batch_sizes","parameters.discriminator_decay.distribution","parameters.discriminator_decay.max","parameters.discriminator_decay.min","parameters.discriminator_dims","parameters.discriminator_lr.distribution","parameters.discriminator_lr.max","parameters.discriminator_lr.min","parameters.discriminator_steps.distribution","parameters.discriminator_steps.max","parameters.discriminator_steps.min","parameters.embedding_dims","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.generator_decay.distribution","parameters.generator_decay.max","parameters.generator_decay.min","parameters.generator_dims","parameters.generator_lr.distribution","parameters.generator_lr.max","parameters.generator_lr.min","parameters.pac.distribution","parameters.pac.max","parameters.pac.min","parameters.pacs","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Discriminator Loss","Generator Loss","Jensen Shannon Distance","Kolmogorov Smirnov Test"
"eternal-sweep-37","","finished","-","","","2024-07-11T17:17:34.000Z","1910","RealBank","5000","0.004898145915654218","[512,512]","0.000177959722647169","6","64","219","0.007981997071177433","[512,512]","0.00008177897463494462","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8956327632190175","0.8761336548790726","1","1","-0.9648389220237732","-0.5314866304397583","0.0391441528446062","0.882343216443194"
"stoic-sweep-38","","finished","-","","","2024-07-11T17:49:30.000Z","1965","RealBank","5000","0.006340486222714831","[512,512]","0.0004955377094531497","7","32","195","0.0049382448603591984","[512,512]","0.0002931548258777139","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.900535748974156","0.8783118857396347","1","1","-0.809211015701294","-1.664473056793213","0.039147072981849655","0.8845344907820171"
"rich-sweep-16","","finished","-","","","2024-07-11T07:55:32.000Z","3615","RealBank","5000","0.008883446494456632","[512,512]","0.00037152082817610925","7","32","368","0.01794123284602906","[512,512]","0.00023464600873048728","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8771880420837093","0.877645058735012","1","1","-1.6520946025848389","0.06768493354320526","0.039148308046778726","0.8838328811686986"
"fresh-sweep-17","","finished","-","","","2024-07-11T08:55:53.000Z","3199","RealBank","5000","0.013231006215580175","[512,512]","0.00031271422948743124","6","32","382","0.013593566091177995","[256,256]","0.00016722627552962608","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8895226582058186","0.8765563482088105","1","1","-1.2881734371185305","-1.8986679315567017","0.0391679682658088","0.8827093880338014"
"gentle-sweep-24","","finished","-","","","2024-07-11T12:38:42.000Z","830","RealBank","5000","0.016202129698624657","[512,512]","0.000465080321946837","3","64","170","0.005565182321939855","[512,512]","0.0006162206060824764","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8936120523955154","0.8736505469032015","1","1","-0.9674139022827148","-0.4494862556457519","0.039192666163429986","0.879847064989062"
"earthy-sweep-27","","finished","-","","","2024-07-11T13:24:29.000Z","1162","RealBank","5000","0.025424042558169498","[512,512]","0.0002201024203322282","4","64","190","0.020198656727231864","[256,256]","0.000037840752281514145","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8851272400415379","0.8803788366944866","1","1","-1.2594711780548096","-1.302985429763794","0.039192794854837135","0.8865536156499124"
"vivid-sweep-39","","finished","-","","","2024-07-11T18:22:20.000Z","951","RealBank","5000","0.016392907300287612","[512,512]","0.0003327756626108078","6","64","102","0.023325779923498213","[512,512]","0.00017370949713467186","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8911524817921056","0.8764419499762972","1","1","-1.1424603462219238","-2.877929925918579","0.0392208599632331","0.8826906419752012"
"daily-sweep-42","","finished","-","","","2024-07-11T19:20:11.000Z","949","RealBank","5000","0.035642555205794034","[128,128]","0.000025536592715034298","2","32","297","0.013407117168204837","[256,256]","0.000017005056087699264","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8717991907656412","0.875187898108563","1","1","-0.866552472114563","0.524023711681366","0.039232040451659296","0.881440937933554"
"vague-sweep-25","","finished","-","","","2024-07-11T12:52:37.000Z","1427","RealBank","5000","0.029518907255747812","[512,512]","0.00014851987050365587","7","32","138","0.004696337743387408","[512,512]","0.0002035361021060844","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8989907420981518","0.8745932070925627","1","1","-0.7820079326629639","0.2616485059261322","0.03923319397414967","0.8807984208305971"
"blooming-sweep-29","","finished","-","","","2024-07-11T13:48:46.000Z","4316","RealBank","5000","0.008239507532085166","[512,512]","0.000053075994652281135","9","256","347","0.019578183786080835","[512,512]","0.000051962991357822915","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8929563158732627","0.872719366679569","1","1","-1.1442142724990845","-0.5234127044677734","0.03923778898249481","0.8789245804176035"
"wild-sweep-22","","finished","-","","","2024-07-11T11:55:12.000Z","2308","RealBank","5000","0.009819308532140737","[256,256]","0.000037338968659555874","5","32","326","0.006949432459836325","[256,256]","0.00008606452412990057","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.887629526382","0.8724257185851407","1","1","-0.8789942860603333","0.31885087490081787","0.03925914059922864","0.8786483236275231"
"avid-sweep-20","","finished","-","","","2024-07-11T10:26:48.000Z","2022","RealBank","5000","0.011602627842942533","[256,256]","0.00019219941109701116","8","32","177","0.0065383882359852825","[512,512]","0.000043923321637114755","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8965599509757849","0.874858804162988","1","1","-0.6848270297050476","0.0515231229364872","0.03928179970290459","0.8810770613792833"
"youthful-sweep-28","","finished","-","","","2024-07-11T13:43:56.000Z","288","RealBank","5000","0.011835980450992808","[512,512]","0.0005821809402230327","1","64","114","0.0024882933171781144","[512,512]","0.000027020914467076474","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8883423408450252","0.8771562433947575","1","1","-1.5156517028808594","-1.4478657245635986","0.03929292180663362","0.8833266745240963"
"jumping-sweep-36","","finished","-","","","2024-07-11T16:49:04.000Z","1693","RealBank","5000","0.019272732808212657","[512,512]","0.0003892404420517126","7","64","165","0.013411853713322786","[512,512]","0.00021486788682955292","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.879321041988403","0.8762524018074987","1","1","-1.152083158493042","0.31652435660362244","0.03931508257163903","0.8824489198933594"
"hopeful-sweep-35","","finished","-","","","2024-07-11T16:03:58.000Z","2702","RealBank","5000","0.02124934994288688","[512,512]","0.00009968122333750116","8","64","238","0.036373656474954094","[512,512]","0.000011039961260094717","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8809398974349232","0.8774118766064601","1","1","-1.7904095649719238","-2.630542278289795","0.039399306001780536","0.8835866555618859"
"autumn-sweep-41","","finished","-","","","2024-07-11T18:57:28.000Z","1356","RealBank","5000","0.03989931232999713","[256,256]","0.000019868608640155867","5","64","182","0.01009611024733535","[512,512]","0.00004178164158451029","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8893856939766731","0.8646186790819855","1","1","-0.95161634683609","0.2658713161945343","0.03946334408546932","0.8708586754287156"
"silvery-sweep-19","","finished","-","","","2024-07-11T10:18:57.000Z","469","RealBank","5000","0.013064590379958642","[512,512]","0.00021654911900017293","2","32","124","0.0159599575291748","[128,128]","0.000012439415050185045","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8636784461822561","0.8758026534047173","1","1","-3.0316858291625977","-0.9086575508117676","0.039465630919506584","0.8820339540992734"
"hopeful-sweep-40","","finished","-","","","2024-07-11T18:38:16.000Z","1146","RealBank","5000","0.014679477773792703","[512,512]","0.0001509162804175394","3","32","244","0.03821275235179436","[512,512]","0.00017214193298100596","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.864280735201878","0.8659255959396515","1","1","-2.224431276321411","0.6280232667922974","0.03950218337420461","0.8720438531559467"
"devout-sweep-21","","finished","-","","","2024-07-11T11:00:36.000Z","3271","RealBank","5000","0.0034663532576527656","[512,512]","0.00017563561469198795","10","32","235","0.014626093784734662","[512,512]","0.00003376514858463868","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8944268168817838","0.872995115491169","1","1","-1.0547332763671875","-2.1508212089538574","0.03954816034886702","0.8792177205335514"
"bright-sweep-32","","finished","-","","","2024-07-11T15:34:10.000Z","509","RealBank","5000","0.017854289250407548","[512,512]","0.0002809973592401263","2","32","138","0.023715956957574787","[512,512]","0.000013488512170559694","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8776419009075698","0.8725125685531746","1","1","-1.9436113834381104","-3.1641688346862793","0.03967733085250869","0.8787221301172962"
"dulcet-sweep-23","","finished","-","","","2024-07-11T12:33:45.000Z","285","RealBank","5000","0.01683554800088736","[512,512]","0.000213451520053614","1","256","112","0.006145189896352804","[512,512]","0.00002036289089866605","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8734332582706601","0.8691563973539888","1","1","-1.9059081077575684","-1.9380723237991333","0.03975029091246751","0.8754007415268056"
"trim-sweep-34","","finished","-","","","2024-07-11T15:58:15.000Z","339","RealBank","5000","0.03864553428176448","[512,512]","0.0005577644016279471","1","64","149","0.005590474592485162","[512,512]","0.000021278510413359604","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8892536008103407","0.8687358811991422","1","1","-1.288499116897583","-2.4553005695343018","0.03982089425126657","0.8749323992850028"
"clean-sweep-30","","finished","-","","","2024-07-11T15:00:45.000Z","1640","RealBank","5000","0.02183998218039587","[512,512]","0.00023232900173208524","7","64","161","0.010555954382457697","[256,256]","0.00003339231542533732","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8869484117094885","0.8687764781608394","1","1","-1.4932210445404053","-3.0645627975463867","0.039918492475802904","0.8749773440727872"
"vivid-sweep-43","","finished","-","","","2024-07-11T19:36:05.000Z","403","RealBank","5000","0.008099771388329707","[128,128]","0.00012820843132378896","1","32","194","0.004666749656418357","[256,256]","0.0001673817073798043","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8843069405356027","0.8558497718880883","1","1","-0.5956001877784729","0.130854532122612","0.040172005767541714","0.8620462899739488"
"dainty-sweep-44","","finished","-","","","2024-07-11T19:42:53.000Z","544","RealBank","5000","0.019697965074145764","[256,256]","0.00004469800720303057","1","32","291","0.029037136290697235","[256,256]","0.000058709452329274856","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8715933916672787","0.8594730236462245","1","1","-1.2121825218200684","0.41285786032676697","0.040204176907732675","0.8655999765146937"
"graceful-sweep-45","","finished","-","","","2024-07-11T19:52:01.000Z","408","RealBank","5000","0.03273151131132055","[512,512]","0.00010819220397077916","2","64","102","0.019822797805650313","[512,512]","0.00017553719998017302","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8827654138921364","0.847667821650843","1","1","-1.1513795852661133","0.7591227293014526","0.04024489741023062","0.8538339049540948"
