"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","attribute_discriminator_beta1","attribute_discriminator_learning_rate","attribute_gradient_penalty_coef","attribute_loss_coef","attribute_noise_dim","attribute_num_layers","attribute_num_units","batch_size","discriminator_beta1","discriminator_learning_rate","discriminator_rounds","epochs","feature_noise_dim","feature_num_layers","feature_num_units","generator_beta1","generator_learning_rate","generator_rounds","gradient_penalty_coef","method","metric.goal","metric.name","name","parameters.attribute_discriminator_beta1.distribution","parameters.attribute_discriminator_beta1.max","parameters.attribute_discriminator_beta1.min","parameters.attribute_discriminator_learning_rate.distribution","parameters.attribute_discriminator_learning_rate.max","parameters.attribute_discriminator_learning_rate.min","parameters.attribute_gradient_penalty_coef.distribution","parameters.attribute_gradient_penalty_coef.max","parameters.attribute_gradient_penalty_coef.min","parameters.attribute_loss_coef.distribution","parameters.attribute_loss_coef.max","parameters.attribute_loss_coef.min","parameters.attribute_noise_dim.distribution","parameters.attribute_noise_dim.max","parameters.attribute_noise_dim.min","parameters.attribute_num_layers.distribution","parameters.attribute_num_layers.max","parameters.attribute_num_layers.min","parameters.attribute_num_units.distribution","parameters.attribute_num_units.max","parameters.attribute_num_units.min","parameters.batch_sizes","parameters.discriminator_beta1.distribution","parameters.discriminator_beta1.max","parameters.discriminator_beta1.min","parameters.discriminator_learning_rate.distribution","parameters.discriminator_learning_rate.max","parameters.discriminator_learning_rate.min","parameters.discriminator_rounds.distribution","parameters.discriminator_rounds.max","parameters.discriminator_rounds.min","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.feature_noise_dim.distribution","parameters.feature_noise_dim.max","parameters.feature_noise_dim.min","parameters.feature_num_layers.distribution","parameters.feature_num_layers.max","parameters.feature_num_layers.min","parameters.feature_num_units.distribution","parameters.feature_num_units.max","parameters.feature_num_units.min","parameters.generator_beta1.distribution","parameters.generator_beta1.max","parameters.generator_beta1.min","parameters.generator_learning_rate.distribution","parameters.generator_learning_rate.max","parameters.generator_learning_rate.min","parameters.generator_rounds.distribution","parameters.generator_rounds.max","parameters.generator_rounds.min","parameters.gradient_penalty_coef.distribution","parameters.gradient_penalty_coef.max","parameters.gradient_penalty_coef.min","parameters.sample_lens","sample_len","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Discriminator Loss","Generator Loss","Jensen Shannon Distance","Kolmogorov Smirnov Test"
"dutiful-sweep-97","","finished","-","","","2024-07-10T22:17:54.000Z","996","RealBank","0.3965709502684897","0.0008492619197349541","6.950700058062317","2.092042258516792","9","5","475","5000","0.9574524434823252","0.0015234233786939728","10","298","13","3","143","0.8692322032119733","0.0042534952915492434","","7.879948358439562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0.7479478514797014","0.3230225400663817","1","0.9722510607565228","-0.002944688964635134","0.07572197169065475","0.053097448072035314","0.32979273677672705"
"polished-sweep-96","","finished","-","","","2024-07-10T22:13:21.000Z","271","RealBank","0.3581466702599265","0.0014717631749360954","9.69529351902816","1.5362147391901648","9","4","262","5000","0.8975291982143321","0.0015335679061391008","7","878","15","4","139","0.23157211242533712","0.002741923930886027","","5.049245838997825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.8007135800257312","0.5829593270565124","1","0.968429338239478","0.04765124964926924","-0.2652559280395508","0.05152802443091937","0.5850632120675602"
"ancient-sweep-66","","finished","-","","","2024-07-10T15:30:12.000Z","89","RealBank","0.45821949399458567","0.0006698303840661398","5.628867582383017","0.5259702273710816","5","5","276","5000","0.6383871897888946","0.0015976761742976097","7","250","11","4","144","0.48676120503581655","0.003707576758032134","","6.963989495639531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.715800475111997","0.38763204607248647","1","0.9706566552272152","0.004126178807512458","-0.1164204478263855","0.053987552746601386","0.39346964595488976"
"glorious-sweep-50","","finished","-","","","2024-07-10T12:10:15.000Z","10159","RealBank","0.6788266604658693","0.0018343855939927168","11.20571717568678","2.0556034256685383","6","5","372","5000","0.8632618806036974","0.0017193442789788353","9","990","12","5","174","0.7910051649228043","0.004624054665304823","","9.964019701985515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0.7846084296808276","0.3481530746409143","1","0.9518419884598311","0.0028892394232874117","0.06892918050289154","0.05299432323157513","0.35085289355846866"
"rich-sweep-49","","finished","-","","","2024-07-10T12:08:18.000Z","519","RealBank","0.3011747542456181","0.0025620195067898753","6.120653824580181","1.749079629616192","6","3","319","5000","0.655728905770165","0.0013202045092696154","8","544","11","4","267","0.6173671208167831","0.002784999099868891","","12.314076832298008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0.7907688490286556","0.43166450231194664","1","0.9359359458921824","0.00115934650239069","-0.8126471042633057","0.053349599358545705","0.43277583771102274"
"vivid-sweep-45","","finished","-","","","2024-07-10T12:01:32.000Z","331","RealBank","0.2564974532358355","0.0033460963308495333","6.250974619439388","2.046985089752443","6","5","376","5000","0.9158814790169588","0.003315336364025791","4","612","15","5","174","0.2827370396642803","0.003848636193592164","","8.268221058903272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0.7741311552787876","0.4199562931334093","1","0.8504909090909091","2.5690597891807556","-1.0498907566070557","0.0555468060532152","0.4233228936001191"
"stellar-sweep-43","","finished","-","","","2024-07-10T11:54:08.000Z","442","RealBank","0.524497171842274","0.004273085247902025","6.292681592540431","2.763434323230074","14","5","268","5000","0.8599050732675879","0.003306886569409527","5","751","14","5","167","0.3922805209907462","0.004046325696540233","","9.00499434519476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0.703266904248467","0.3620218256914694","1","0.8491155902920607","0.0083049772772938","-0.4575554728507995","0.05467872323354464","0.3653864927974222"
"royal-sweep-42","","finished","-","","","2024-07-10T11:49:45.000Z","493","RealBank","0.6090139661344327","0.0045083526776837635","6.113368323512853","0.6014877469983405","6","4","253","5000","0.7550226610993624","0.0012107706301133436","9","471","12","3","238","0.6424389796260154","0.004803239523650211","","6.869261543953263","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.7776653502763564","0.4484617591235182","1","0.8164395561611836","28.812367757161457","-0.2804379463195801","0.05590035047626682","0.4484617591235182"
"denim-sweep-40","","finished","-","","","2024-07-10T11:40:58.000Z","503","RealBank","0.5383696206119275","0.002070881189943541","7.812938048704874","2.2465386189551135","11","5","352","5000","0.926532717065452","0.002181631645330483","4","949","14","4","166","0.2478180859285348","0.00371831358890616","","8.76583542827382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0.7765632850100755","0.3682478302964103","1","0.9779090909090912","0.00493270147126168","-0.054669514298439026","0.05279921166706663","0.3731069609254753"
"dulcet-sweep-39","","finished","-","","","2024-07-10T11:38:28.000Z","433","RealBank","0.4808773956606074","0.0022060876137192146","7.079897413467695","1.658433646144546","7","4","243","5000","0.7913067437647525","0.002540804387546365","6","794","13","4","204","0.5676203685128823","0.004601540750387891","","10.19425977187245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0.7985228037873108","0.4054402528441401","1","0.9356864307279436","0.013923200662247837","0.12903282046318054","0.05199135404390072","0.4061804831747985"
"sandy-sweep-37","","finished","-","","","2024-07-10T11:27:51.000Z","2538","RealBank","0.4622805317854682","0.0029194442045636865","7.725558532476164","1.6307252738772335","5","4","419","5000","0.8170267270395533","0.0013044606414145113","4","821","9","3","274","0.8707212229146535","0.0031635896113389695","","9.51381170817448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.7787976258829318","0.4316707329605352","1","0.880700694654183","2.228374592959881","-0.30442795157432556","0.05437360317746414","0.4339129609673727"
"earnest-sweep-36","","finished","-","","","2024-07-10T11:26:26.000Z","867","RealBank","0.4188180197259292","0.000496755743706774","5.841484755458556","1.3770748175290433","6","5","279","5000","0.8650497970270108","0.0024817253349972064","8","742","12","5","415","0.5302156065943862","0.004027513262930978","","8.87038588610514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.7785721098846756","0.4840522329340317","1","0.9940036493128108","0.01515611939248629","0.00952506810426712","0.051570489576684225","0.48453674538819874"
"bumbling-sweep-34","","finished","-","","","2024-07-10T11:15:41.000Z","277","RealBank","0.8875572174356514","0.00212538256866808","6.728818503399488","0.8322066878322008","11","5","272","5000","0.6080987595907646","0.0006573274682331703","8","262","5","4","203","0.8242698518779839","0.003797037527971261","","10.673381964197446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0.7790254350571358","0.2952652484566982","1","0.9844342949256136","-0.00391041036345996","-0.008786260150372982","0.05327426677038531","0.2973246292800881"
"hardy-sweep-33","","finished","-","","","2024-07-10T11:11:41.000Z","881","RealBank","0.6855109891917548","0.001532435650593258","6.978401923052925","1.061064112565147","10","4","429","5000","0.954123287656652","0.0018454935500656709","8","767","15","4","311","0.42916564947749686","0.004997279025390148","","7.3632708044714335","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0.7775864046653302","0.460863567627465","1","0.952379173825353","72.85089003574103","0.005254849791526794","0.05182031625315357","0.46101735537672234"
"morning-sweep-31","","finished","-","","","2024-07-10T11:06:38.000Z","535","RealBank","0.2300143634901984","0.0002184499601851582","7.761680854530232","1.5878180726369735","10","5","388","5000","0.995887320330455","0.0012211073813365482","6","775","14","4","188","0.34179040483781425","0.004843041729771164","","9.433701814894748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.7797783206590744","0.35158554347538473","1","0.9477408818726184","-0.0000160141162268701","-0.32419800758361816","0.05325539928565795","0.37211580513071474"
