"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","cat_embedding_dim","diffusion_beta_end","diffusion_beta_start","diffusion_steps","epochs","method","metric.goal","metric.name","mlp_activation","mlp_dim","mlp_lr","name","parameters.batch_sizes","parameters.cat_embedding_dims","parameters.diffusion_beta_end.distribution","parameters.diffusion_beta_end.max","parameters.diffusion_beta_end.min","parameters.diffusion_beta_start.distribution","parameters.diffusion_beta_start.max","parameters.diffusion_beta_start.min","parameters.diffusion_steps.distribution","parameters.diffusion_steps.max","parameters.diffusion_steps.min","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.mlp_activations","parameters.mlp_dims","parameters.mlp_lr.distribution","parameters.mlp_lr.max","parameters.mlp_lr.min","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Jensen Shannon Distance","Kolmogorov Smirnov Test","Loss"
"vivid-sweep-30","","finished","-","","","2024-07-10T06:57:46.000Z","766","RealBank","5000","4","0.005331927760313786","0.0005049423678502456","534","999","","","","lrelu","[2048,2048,2048]","0.0005119882271338784","","","","","","","","","","","","","","","","","","","","","0.9519812011319684","0.9156352697651152","1","1","0.041312265054747166","0.9171996683328804","0.2214056700468063"
"olive-sweep-29","","finished","-","","","2024-07-10T06:45:04.000Z","760","RealBank","5000","8","0.005334809067932658","0.0003926281425767038","728","993","","","","lrelu","[2048,2048,2048]","0.00042520362718846737","","","","","","","","","","","","","","","","","","","","","0.9544173592780928","0.9196522029077988","1","1","0.04115899722932152","0.9199641649827272","0.2024537622928619"
"dry-sweep-28","","finished","-","","","2024-07-10T06:32:31.000Z","748","RealBank","5000","8","0.001387541464141442","0.00027680447861432863","367","993","","","","relu","[2048,2048,2048]","0.00037465579191659496","","","","","","","","","","","","","","","","","","","","","0.9095791927915948","0.8906183118064827","1","1","0.04252953101708974","0.8920742627102953","0.219530388712883"
"still-sweep-27","","finished","-","","","2024-07-10T06:21:37.000Z","650","RealBank","5000","2","0.0029497827804002216","0.00004165387180131885","236","993","","","","relu","[1024,1024,1024,1024]","0.0004246465628628775","","","","","","","","","","","","","","","","","","","","","0.94650217783784","0.911078436516471","1","1","0.04170141306817484","0.9130718784097308","0.2905571460723877"
"expert-sweep-26","","finished","-","","","2024-07-10T06:12:08.000Z","564","RealBank","5000","2","0.005483617078679148","0.0002214744100407196","644","834","","","","lrelu","[1024,1024,1024,1024]","0.00024031280442793164","","","","","","","","","","","","","","","","","","","","","0.9461948072041046","0.9145494101288458","1","1","0.04145244925571837","0.9147691092650144","0.28534233570098877"
"deep-sweep-25","","finished","-","","","2024-07-10T06:03:48.000Z","497","RealBank","5000","4","0.0024234955427567435","0.0003896061708636671","542","983","","","","lrelu","[512,512,512]","0.0002455772510122184","","","","","","","","","","","","","","","","","","","","","0.9333778377480468","0.9105477301285309","1","1","0.04196621717372316","0.9113255021290508","0.33017152547836304"
"rosy-sweep-24","","finished","-","","","2024-07-10T05:51:36.000Z","731","RealBank","5000","8","0.001572325934654925","0.0008375052187480854","271","973","","","","lrelu","[2048,2048,2048]","0.0002356034026634983","","","","","","","","","","","","","","","","","","","","","0.895972630986256","0.8788822191760319","1","1","0.04286812606933486","0.8851799144440639","0.231963112950325"
"colorful-sweep-23","","finished","-","","","2024-07-10T05:39:59.000Z","692","RealBank","5000","8","0.004779630123938885","0.0007723027124385175","250","933","","","","lrelu","[2048,2048,2048]","0.00047851390279583567","","","","","","","","","","","","","","","","","","","","","0.9509574144362845","0.9180664626244244","1","1","0.041157862388510214","0.919372839141447","0.188830628991127"
"smart-sweep-22","","finished","-","","","2024-07-10T05:29:40.000Z","596","RealBank","5000","8","0.0020964093390683893","0.00015780209252733604","752","882","","","","lrelu","[1024,1024,1024,1024]","0.0003038547081766345","","","","","","","","","","","","","","","","","","","","","0.9179132212677344","0.9080152275386124","1","1","0.0420418440429274","0.9083530572854502","0.273444265127182"
"worthy-sweep-21","","finished","-","","","2024-07-10T05:16:36.000Z","759","RealBank","5000","2","0.004129761879778069","0.0002458964035803884","638","1000","","","","lrelu","[2048,2048,2048]","0.00026337878191070056","","","","","","","","","","","","","","","","","","","","","0.9496564947913104","0.9100604315611596","1","1","0.04151796799089247","0.911094416411614","0.2841651439666748"
"frosty-sweep-20","","finished","-","","","2024-07-10T05:05:00.000Z","692","RealBank","5000","2","0.004769737077694186","0.00025895810222977765","649","887","","","","lrelu","[2048,2048,2048]","0.00002208915227391416","","","","","","","","","","","","","","","","","","","","","0.9194973059625464","0.9038281964320182","1","1","0.04183910529013176","0.904365353390922","0.3754445016384125"
