"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","compress_dims","decompress_dims","embedding_dim","epochs","l2scale","learning_rate","loss_factor","method","metric.goal","metric.name","name","parameters.batch_sizes","parameters.compress_dimss","parameters.decompress_dimss","parameters.embedding_dims","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.l2scale.distribution","parameters.l2scale.max","parameters.l2scale.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.loss_factor.distribution","parameters.loss_factor.max","parameters.loss_factor.min","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Jensen Shannon Distance","Kolmogorov Smirnov Test","Loss"
"iconic-sweep-33","","finished","-","","","2024-07-10T05:41:16.000Z","398","RealBank","5000","[512,512]","[256,256]","32","692","0.0007746765050419174","0.0009897074040802448","1","","","","","","","","","","","","","","","","","","","","","0.9321663387521903","0.9094229571156776","1","1","0.04227141701904059","0.9095373988159248","-17.218387603759766"
"breezy-sweep-32","","finished","-","","","2024-07-10T05:36:17.000Z","295","RealBank","5000","[512,512]","[128,128]","32","459","0.0004428871120557692","0.0007142879681395548","1","","","","","","","","","","","","","","","","","","","","","0.9228177453569992","0.9120814924232576","1","1","0.0422157769601708","0.9125764650272384","-13.645540237426758"
"comic-sweep-31","","finished","-","","","2024-07-10T05:28:44.000Z","450","RealBank","5000","[512,512]","[256,256]","32","799","0.00012238496900563174","0.000946899269009668","1","","","","","","","","","","","","","","","","","","","","","0.924648181500372","0.9105068826835888","1","1","0.042338081599955626","0.910720211605198","-18.322933197021484"
"good-sweep-30","","finished","-","","","2024-07-10T05:23:04.000Z","334","RealBank","5000","[512,512]","[128,128]","32","544","0.0006256035084841103","0.0006903102062384888","1","","","","","","","","","","","","","","","","","","","","","0.9321571519751398","0.9126778145421458","1","1","0.04203338919089437","0.913310882384222","-14.79812240600586"
"cerulean-sweep-29","","finished","-","","","2024-07-10T05:16:17.000Z","402","RealBank","5000","[512,512]","[128,128]","256","701","0.0009452093449314594","0.0007222315309956821","1","","","","","","","","","","","","","","","","","","","","","0.9259415474601818","0.9127699163741932","1","1","0.04219636023749175","0.91308435807444","-15.729588508605955"
"leafy-sweep-28","","finished","-","","","2024-07-10T05:12:07.000Z","248","RealBank","5000","[512,512]","[256,256]","32","334","0.0008233664859622829","0.0007190451568076224","1","","","","","","","","","","","","","","","","","","","","","0.9287400646100876","0.9109821927844676","1","1","0.04234979721342601","0.911300974912258","-13.585721969604492"
"rich-sweep-27","","finished","-","","","2024-07-10T05:04:56.000Z","427","RealBank","5000","[512,512]","[128,128]","32","760","0.0009586482695353534","0.0008046712866516289","1","","","","","","","","","","","","","","","","","","","","","0.9273735621845308","0.9192207165900524","1","1","0.042040031121624785","0.919362616940233","-16.19898796081543"
"cosmic-sweep-26","","finished","-","","","2024-07-10T04:58:35.000Z","377","RealBank","5000","[512,512]","[256,256]","256","629","0.0007851982610618034","0.0005005214535311706","1","","","","","","","","","","","","","","","","","","","","","0.9192451144263182","0.909684742918592","1","1","0.042288812151984","0.9103511440940012","-16.7230224609375"
"elated-sweep-25","","finished","-","","","2024-07-10T04:53:11.000Z","321","RealBank","5000","[512,512]","[128,128]","64","512","0.0007318224987167253","0.0005886381479144305","1","","","","","","","","","","","","","","","","","","","","","0.9325811741936828","0.914979102214134","1","1","0.04223722289611156","0.916302311034431","-13.78722095489502"
"kind-sweep-24","","finished","-","","","2024-07-10T04:47:44.000Z","318","RealBank","5000","[512,512]","[512,512]","64","485","0.000831443048629843","0.0009423969915514786","1","","","","","","","","","","","","","","","","","","","","","0.93297041694055","0.912844607651978","1","1","0.04247165008794448","0.9130500608581592","-16.57497215270996"
"good-sweep-23","","finished","-","","","2024-07-10T04:44:01.000Z","219","RealBank","5000","[512,512]","[128,128]","32","285","0.0004440264817803882","0.0008631486741040116","1","","","","","","","","","","","","","","","","","","","","","0.9266441080963268","0.9171682615837304","1","1","0.042275120269907825","0.9188522623872944","-12.22600269317627"
"ethereal-sweep-22","","finished","-","","","2024-07-10T04:36:35.000Z","441","RealBank","5000","[512,512]","[128,128]","256","806","0.0008958906919054494","0.0007878606865411111","1","","","","","","","","","","","","","","","","","","","","","0.9193368888633786","0.9052975002855804","1","1","0.04210710067150162","0.9060353300324184","-14.619312286376951"
"neat-sweep-21","","finished","-","","","2024-07-10T04:33:02.000Z","209","RealBank","5000","[512,512]","[256,256]","64","256","0.00027757092271201843","0.0009412440763622912","1","","","","","","","","","","","","","","","","","","","","","0.9368856398718548","0.9126149210813452","1","1","0.042228689273207234","0.912786505638735","-13.328855514526367"
"gallant-sweep-20","","finished","-","","","2024-07-10T04:25:49.000Z","430","RealBank","5000","[512,512]","[256,256]","64","749","0.0006596455367927986","0.0006228621598496695","1","","","","","","","","","","","","","","","","","","","","","0.9186919695113552","0.9160901370391816","1","1","0.04211238110972206","0.9165898715479244","-17.8055419921875"
"rural-sweep-19","","finished","-","","","2024-07-10T04:18:41.000Z","423","RealBank","5000","[512,512]","[128,128]","256","708","0.0009558349864434224","0.000577863440067131","1","","","","","","","","","","","","","","","","","","","","","0.9265529386363974","0.9072163233793809","1","1","0.042072423250200906","0.9073629856343232","-15.800911903381348"
"splendid-sweep-18","","finished","-","","","2024-07-10T04:12:05.000Z","393","RealBank","5000","[512,512]","[128,128]","64","673","0.0004149445732060243","0.0008841798793456515","1","","","","","","","","","","","","","","","","","","","","","0.9258012859629704","0.914451131882979","1","1","0.04214969570798875","0.916335132686543","-16.5734806060791"
"fine-sweep-17","","finished","-","","","2024-07-10T04:02:38.000Z","564","RealBank","5000","[512,512]","[256,256]","64","991","0.00033376766945106647","0.0009109433210745608","2","","","","","","","","","","","","","","","","","","","","","0.9205050472560332","0.9029310360855402","1","1","0.04261786764989458","0.9031396031023872","-67.08241271972656"
"fallen-sweep-16","","finished","-","","","2024-07-10T03:55:51.000Z","404","RealBank","5000","[512,512]","[128,128]","64","678","0.0007131016798802077","0.0008061354091650389","2","","","","","","","","","","","","","","","","","","","","","0.9145724377654456","0.900312224414954","1","1","0.042497750388165195","0.9009558890608934","-53.876243591308594"
"neat-sweep-15","","finished","-","","","2024-07-10T03:47:32.000Z","493","RealBank","5000","[512,512]","[256,256]","256","859","0.0006101111702799438","0.000924662779707576","2","","","","","","","","","","","","","","","","","","","","","0.9184183000187178","0.904541177142542","1","1","0.04250393292494547","0.9054292883337468","-58.56477355957031"
"cool-sweep-14","","finished","-","","","2024-07-10T03:40:12.000Z","436","RealBank","5000","[512,512]","[256,256]","256","734","0.0006246502817506569","0.0009234006267684644","1","","","","","","","","","","","","","","","","","","","","","0.9313197368855244","0.9119997916248144","1","1","0.04241691022500162","0.9125138118478427","-18.077007293701172"
"worthy-sweep-13","","finished","-","","","2024-07-10T03:32:32.000Z","456","RealBank","5000","[512,512]","[128,128]","256","763","0.0006478922839334154","0.0005456703859708607","2","","","","","","","","","","","","","","","","","","","","","0.9165239398138408","0.8935751872028487","1","1","0.04267511606160769","0.8944364912612411","-54.63551330566406"
"charmed-sweep-12","","finished","-","","","2024-07-10T03:23:31.000Z","538","RealBank","5000","[512,512]","[128,128]","64","939","0.0004669909912423424","0.0007430737120005383","1","","","","","","","","","","","","","","","","","","","","","0.927382459296889","0.91615316915417","1","1","0.04226331255903909","0.916738617948627","-17.761781692504883"
"dry-sweep-11","","crashed","-","","","2024-07-10T03:14:34.000Z","205","RealBank","5000","[256,256]","[128,128]","256","977","0.0007624193037067821","0.00031054050719266714","1","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.153328895568848"
"rose-sweep-10","","finished","-","","","2024-07-10T03:06:16.000Z","486","RealBank","5000","[512,512]","[128,128]","256","857","0.0008888006902447573","0.0005219629889831151","1","","","","","","","","","","","","","","","","","","","","","0.9364266000394958","0.914185475579925","1","1","0.04215088493375069","0.9143226140253436","-15.61319065093994"
"misty-sweep-9","","finished","-","","","2024-07-10T02:57:01.000Z","552","RealBank","5000","[512,512]","[512,512]","256","965","0.0009457672894186834","0.0008316339257938752","1","","","","","","","","","","","","","","","","","","","","","0.927387512717781","0.9072806061393868","1","1","0.04243256152241274","0.9079140954586814","-20.901817321777344"
"glowing-sweep-8","","finished","-","","","2024-07-10T02:48:06.000Z","534","RealBank","5000","[512,512]","[128,128]","256","927","0.0006115506841958888","0.0005507800818138849","1","","","","","","","","","","","","","","","","","","","","","0.922895869860328","0.91291999101899","1","1","0.04213290999715302","0.9137721064801138","-16.24007225036621"
"youthful-sweep-7","","finished","-","","","2024-07-10T02:38:49.000Z","552","RealBank","5000","[512,512]","[512,512]","256","971","0.0008604237842197671","0.00042658175611343254","1","","","","","","","","","","","","","","","","","","","","","0.9266388298925552","0.9120932461230004","1","1","0.04224889742434855","0.9125886402041998","-20.12015914916992"
"major-sweep-6","","finished","-","","","2024-07-10T02:29:57.000Z","530","RealBank","5000","[512,512]","[256,256]","32","976","0.0009901423025945693","0.0004292860494776284","2","","","","","","","","","","","","","","","","","","","","","0.9195291851218624","0.8977847389795525","1","1","0.04273379205338032","0.8986654258692475","-63.84062576293945"
"unique-sweep-5","","finished","-","","","2024-07-10T02:23:12.000Z","402","RealBank","5000","[512,512]","[128,128]","64","677","0.0007489300453554913","0.00021654379180335176","2","","","","","","","","","","","","","","","","","","","","","0.914268009274014","0.9022990739318308","1","1","0.042553936021998064","0.9057352595236126","-41.424922943115234"
"lively-sweep-4","","finished","-","","","2024-07-10T02:15:23.000Z","455","RealBank","5000","[512,512]","[512,512]","256","804","0.00048370795709439657","0.0004429297299070301","3","","","","","","","","","","","","","","","","","","","","","0.912402460179583","0.9062445966226678","1","1","0.042578165516412074","0.9084340506324128","-134.63368225097656"
"drawn-sweep-3","","finished","-","","","2024-07-10T02:10:12.000Z","310","RealBank","5000","[256,256]","[256,256]","64","460","0.00026915075756853867","0.000823772859867037","2","","","","","","","","","","","","","","","","","","","","","0.9289051767440304","0.9027149297472318","1","1","0.0426140448248595","0.9034014515360284","-57.58165740966797"
"divine-sweep-2","","finished","-","","","2024-07-10T02:07:30.000Z","156","RealBank","5000","[512,512]","[128,128]","256","146","0.00028136833083800347","0.00016960053170341868","4","","","","","","","","","","","","","","","","","","","","","0.8761281727363142","0.818204843836782","1","1","0.044955693445777205","0.822790120101312","-29.90998649597168"
"absurd-sweep-1","","finished","-","","","2024-07-10T01:58:43.000Z","496","RealBank","5000","[512,512]","[128,128]","64","854","0.0009441957087280625","0.000446689630684385","1","","","","","","","","","","","","","","","","","","","","","0.9279429030534208","0.9162633673272436","1","1","0.04207325266985022","0.916457648629805","-14.39415454864502"
